tam_loc_enh,est_socio_enh,genero,edad,parentesco,Residencia,esc-padre,Lengua_ing_m,esc_madre,esc-entrevistado,prom_edu_padre,dif_escp_esm,dif_resi
1,3,2,60,2,,99,2,1,3,99,98,1
1,3,2,35,3,1,2,2,6,3,5,-4,1
1,3,1,56,1,1,2,2,3,7,3,-1,1
1,2,1,52,1,1,2,2,6,3,5,-4,1
1,2,2,27,1,1,2,2,6,4,5,-4,1
1,2,1,28,3,1,9,2,3,10,10,6,1
1,2,2,30,1,1,2,2,6,4,5,-4,1
1,2,1,36,1,,3,2,6,7,6,-3,1
1,2,1,32,1,1,8,2,3,10,9,5,1
1,2,1,25,1,1,3,2,3,10,4,0,1
1,2,2,35,1,1,99,2,3,3,100,96,1
1,3,2,41,1,1,6,2,3,11,7,3,1
1,3,1,48,1,1,2,1,6,3,5,-4,1
1,3,1,48,1,1,2,2,3,11,3,-1,1
1,3,1,43,1,1,2,2,3,10,3,-1,1
1,3,2,56,2,,2,2,6,7,5,-4,1
1,3,2,33,2,1,10,2,4,4,12,6,1
1,2,2,43,2,1,2,2,3,3,3,-1,1
1,2,1,32,1,1,2,2,3,3,3,-1,1
1,2,1,26,3,1,2,2,3,3,3,-1,1
1,2,2,35,2,1,2,2,6,3,5,-4,1
1,2,2,38,2,1,2,2,5,3,4,-3,1
1,3,2,27,2,1,4,2,6,10,7,-2,1
1,3,1,28,1,1,3,2,3,10,4,0,1
1,2,1,39,1,1,99,2,6,3,,93,1
1,2,1,36,1,,2,2,6,2,5,-4,1
1,2,1,44,1,1,2,2,6,3,5,-4,1
1,2,2,29,1,1,2,2,3,4,3,-1,1
1,2,1,55,2,,2,2,2,4,3,0,1
1,2,1,45,1,1,2,2,6,4,5,-4,1
1,2,2,42,1,1,2,2,6,11,5,-4,1
1,2,2,33,1,1,2,2,3,3,3,-1,1
1,2,2,46,2,1,2,2,3,2,3,-1,1
1,2,1,30,1,1,3,2,3,4,4,0,1
1,2,2,30,1,1,2,2,6,3,5,-4,1
1,3,2,41,2,1,2,2,6,3,5,-4,1
1,3,1,40,2,1,3,2,6,10,6,-3,1
1,4,1,42,1,1,2,2,5,4,4,-3,1
1,4,2,34,2,1,2,2,3,3,3,-1,1
1,4,1,47,1,1,2,2,3,10,3,-1,1
1,3,1,47,8,,3,2,4,3,5,-1,1
1,3,2,48,2,1,2,2,3,2,3,-1,1
1,2,2,50,2,1,99,2,2,3,100,97,1
1,4,2,56,1,1,2,2,6,9,5,-4,1
1,4,1,56,1,,10,2,5,10,12,5,1
1,4,1,42,1,1,4,1,3,11,5,1,1
1,4,1,32,3,1,99,2,4,10,,95,1
1,2,1,25,1,1,4,2,4,10,6,0,1
1,2,2,44,1,1,2,2,1,4,2,1,1
1,2,1,40,1,1,9,2,2,4,10,7,1
1,4,1,52,1,1,2,2,6,10,5,-4,1
1,4,1,32,3,1,10,2,4,10,12,6,1
1,4,1,30,2,1,3,2,3,10,4,0,1
1,4,2,45,2,1,2,2,6,3,5,-4,1
1,2,2,38,1,1,2,2,3,2,3,-1,1
1,2,2,25,3,1,2,2,3,4,3,-1,1
1,3,1,26,1,1,3,2,4,4,5,-1,1
1,3,2,36,2,1,2,2,3,3,3,-1,1
1,3,2,57,2,1,2,2,6,7,5,-4,1
1,3,2,51,1,1,2,2,3,7,3,-1,1
1,3,2,38,2,1,3,2,6,4,6,-3,1
1,1,1,37,1,1,2,2,6,3,5,-4,1
1,2,2,25,2,1,11,2,4,10,13,7,1
1,2,2,43,1,1,2,2,1,3,2,1,1
1,2,1,32,1,1,10,2,4,10,12,6,1
1,2,1,32,1,1,2,2,3,3,3,-1,1
1,2,1,29,1,1,2,2,6,3,5,-4,1
1,3,2,50,1,1,2,2,6,7,5,-4,1
1,3,1,45,1,,2,2,6,7,5,-4,1
1,3,2,39,3,1,2,2,4,10,4,-2,1
1,3,2,58,2,1,2,2,6,6,5,-4,1
1,3,2,46,1,1,2,2,6,3,5,-4,1
1,3,2,35,2,,3,2,3,4,4,0,1
1,3,2,26,1,,3,2,3,4,4,0,1
1,3,1,28,3,1,4,2,3,10,5,1,1
1,3,1,62,1,1,2,2,2,7,3,0,1
1,2,2,46,2,1,2,2,6,2,5,-4,1
1,2,1,31,1,,3,2,3,3,4,0,1
1,3,2,37,3,1,10,2,4,10,12,6,1
1,3,1,34,3,1,2,2,6,4,5,-4,1
1,3,1,41,1,1,99,2,3,4,100,96,1
1,3,1,34,1,1,6,2,3,10,7,3,1
1,3,1,60,1,1,2,2,6,7,5,-4,1
1,2,2,34,2,1,2,2,4,4,4,-2,1
1,2,2,44,2,1,2,2,4,10,4,-2,1
1,2,2,29,2,1,2,2,6,10,5,-4,1
1,2,1,33,3,1,2,2,3,4,3,-1,1
1,2,2,30,1,,2,2,6,4,5,-4,1
1,3,1,29,1,1,10,2,6,7,13,4,1
1,3,2,30,2,1,2,2,2,3,3,0,1
1,3,2,42,2,1,2,2,4,3,4,-2,1
1,2,1,56,1,1,0,2,3,10,1,-3,1
1,2,2,27,1,1,3,2,3,7,4,0,1
1,2,1,26,1,1,3,2,6,3,6,-3,1
1,3,1,50,1,,2,2,6,4,5,-4,1
1,3,1,55,1,1,2,2,4,3,4,-2,1
1,3,2,36,1,1,2,2,5,10,4,-3,1
1,3,2,43,2,,2,2,4,3,4,-2,1
1,3,1,35,1,1,2,2,6,3,5,-4,1
1,3,1,45,3,1,3,2,6,3,6,-3,1
1,3,1,37,1,1,2,1,2,7,3,0,1
1,2,1,55,1,1,2,2,3,10,3,-1,1
1,2,1,33,1,1,10,2,5,10,12,5,1
1,2,2,29,2,1,2,2,6,4,5,-4,1
1,2,1,34,1,1,2,2,3,3,3,-1,1
1,2,1,38,1,1,2,2,3,3,3,-1,1
1,4,2,36,1,1,5,2,4,10,7,1,1
1,4,1,27,3,1,10,2,3,10,11,7,1
1,4,1,41,3,1,2,2,6,7,5,-4,1
1,4,1,38,2,1,10,2,6,10,13,4,1
1,3,2,42,2,1,99,2,6,3,,93,1
1,3,1,28,1,1,3,2,6,10,6,-3,1
1,3,2,44,2,1,2,2,3,2,3,-1,1
1,2,2,52,1,1,2,2,6,3,5,-4,1
1,2,2,36,2,1,2,2,4,2,4,-2,1
1,3,2,53,1,1,2,2,3,4,3,-1,1
1,3,2,32,3,1,10,2,5,11,12,5,1
1,3,2,37,2,1,2,2,6,2,5,-4,1
1,3,2,43,2,1,2,2,6,7,5,-4,1
1,3,2,32,1,1,10,2,3,10,11,7,1
1,3,2,42,2,1,2,2,3,7,3,-1,1
1,3,1,30,3,1,3,2,3,7,4,0,1
1,3,1,36,1,1,3,2,6,10,6,-3,1
1,3,1,46,1,1,2,2,6,7,5,-4,1
1,2,1,26,1,,3,2,6,4,6,-3,1
1,2,1,30,3,1,2,2,3,10,3,-1,1
1,2,1,28,1,1,4,2,6,4,7,-2,1
1,2,2,25,1,1,2,2,3,4,3,-1,1
1,2,2,56,8,,3,2,6,3,6,-3,1
1,2,2,27,2,1,2,2,6,3,5,-4,1
1,3,1,40,1,1,2,2,6,3,5,-4,1
1,3,1,35,1,,2,2,3,4,3,-1,1
1,2,1,44,1,1,2,2,6,4,5,-4,1
1,2,2,38,2,1,3,2,1,2,3,2,1
1,2,2,47,1,1,2,2,6,3,5,-4,1
1,2,1,33,2,1,3,2,3,3,4,0,1
1,4,2,36,2,,3,2,2,7,4,1,1
1,4,2,46,2,1,2,2,6,3,5,-4,1
1,4,1,38,1,1,2,2,6,4,5,-4,1
1,4,1,41,1,,10,2,3,10,11,7,1
1,3,1,41,1,1,2,2,3,3,3,-1,1
1,3,2,35,1,1,2,2,6,3,5,-4,1
1,3,2,33,2,,7,2,3,10,8,4,1
1,2,1,32,1,1,4,2,6,8,7,-2,1
1,2,2,35,1,1,5,2,6,4,8,-1,1
1,2,1,32,2,1,10,2,3,10,11,7,1
1,2,2,30,2,1,3,2,6,7,6,-3,1
1,2,1,54,1,1,2,2,6,3,5,-4,1
1,2,1,44,1,1,2,2,2,4,3,0,1
1,2,2,34,2,1,6,2,3,3,7,3,1
2,2,1,48,3,1,2,2,3,2,3,-1,1
2,2,2,64,1,1,2,2,2,3,3,0,1
2,2,2,44,2,1,2,2,6,3,5,-4,1
2,2,2,28,5,1,2,2,6,3,5,-4,1
2,2,2,28,3,1,3,2,3,10,4,0,1
2,2,1,25,1,1,2,2,5,2,4,-3,1
2,2,2,53,2,1,2,2,6,2,5,-4,1
2,2,1,30,1,1,2,2,6,3,5,-4,1
2,2,2,41,2,1,2,2,5,3,4,-3,1
2,2,1,27,5,1,2,2,6,3,5,-4,1
2,2,1,28,1,1,2,2,5,3,4,-3,1
2,2,2,31,2,1,3,2,1,10,3,2,1
2,2,1,58,1,1,2,2,3,2,3,-1,1
2,2,2,26,2,1,4,2,6,4,7,-2,1
2,2,1,25,4,1,10,2,3,4,11,7,1
2,2,1,39,1,1,4,2,6,4,7,-2,1
2,2,2,38,2,1,2,2,4,3,4,-2,1
2,2,1,50,1,,3,2,3,10,4,0,1
2,2,2,49,1,1,6,2,3,4,7,3,1
2,2,2,43,3,1,10,2,3,10,11,7,1
2,2,1,58,1,,2,2,4,3,4,-2,1
2,2,2,40,1,1,5,2,6,10,8,-1,1
2,2,2,55,2,1,3,2,3,7,4,0,1
2,2,2,34,1,1,2,2,2,2,3,0,1
2,2,2,25,8,1,99,2,3,10,100,96,1
2,2,1,45,1,1,2,2,6,3,5,-4,1
2,2,1,44,3,,6,2,3,4,7,3,1
2,2,2,57,2,1,2,2,3,3,3,-1,1
2,2,2,39,2,1,2,2,2,3,3,0,1
2,2,1,35,2,,2,2,6,3,5,-4,1
2,2,1,38,1,1,2,2,4,3,4,-2,1
2,2,1,47,1,1,2,2,6,2,5,-4,1
2,2,1,34,1,,3,2,3,10,4,0,1
2,2,2,43,2,1,2,2,6,7,5,-4,1
2,2,2,44,2,,2,2,3,10,3,-1,1
2,2,2,33,1,1,2,2,6,10,5,-4,1
2,2,2,29,2,1,8,2,3,10,9,5,1
2,2,2,32,1,1,4,2,3,10,5,1,1
2,2,1,38,1,1,99,2,5,4,,94,1
2,2,1,38,1,1,3,2,5,4,5,-2,1
2,2,2,35,2,1,10,2,4,10,12,6,1
2,2,2,42,1,1,2,2,2,3,3,0,1
2,2,1,59,1,1,2,2,5,3,4,-3,1
2,2,2,30,1,1,2,2,2,3,3,0,1
2,2,2,38,2,1,2,2,1,2,2,1,1
2,2,2,56,2,1,2,2,1,3,2,1,1
2,2,2,38,2,1,2,2,6,4,5,-4,1
2,2,1,27,2,,3,2,6,4,6,-3,1
2,2,2,57,1,,2,2,5,2,4,-3,1
2,2,2,29,2,,2,2,2,3,3,0,1
3,2,2,38,2,1,2,2,6,10,5,-4,1
3,2,2,35,1,1,11,2,3,11,12,8,1
3,2,1,45,2,1,2,2,3,2,3,-1,1
3,2,2,31,3,1,3,2,3,2,4,0,1
3,2,1,46,2,,2,2,6,4,5,-4,1
3,2,1,39,1,1,2,2,6,4,5,-4,1
3,2,1,39,3,1,3,2,6,3,6,-3,1
3,2,1,30,2,1,2,2,4,3,4,-2,1
3,2,1,30,1,1,2,2,3,10,3,-1,1
3,2,2,49,3,1,2,2,4,3,4,-2,1
3,2,2,36,3,1,2,2,1,3,2,1,1
3,2,2,32,2,1,3,2,6,3,6,-3,1
3,2,2,37,2,1,2,2,6,3,5,-4,1
3,2,1,54,1,1,2,2,4,2,4,-2,1
3,2,1,54,1,1,2,2,2,2,3,0,1
3,2,2,45,3,1,2,2,6,7,5,-4,1
3,2,1,59,1,1,99,2,2,5,100,97,1
3,2,2,33,2,1,3,2,3,3,4,0,1
3,2,1,25,3,1,99,2,3,4,100,96,1
3,2,2,30,2,1,99,2,6,3,,93,1
3,2,1,42,1,1,2,2,3,4,3,-1,1
3,2,1,52,1,1,2,2,2,5,3,0,1
3,2,2,59,1,1,2,2,3,3,3,-1,1
3,2,1,60,1,1,2,2,3,4,3,-1,1
3,2,1,48,1,1,99,2,6,2,,93,1
3,2,2,56,2,1,2,2,2,3,3,0,1
3,2,2,49,2,,2,2,6,2,5,-4,1
3,2,1,43,1,1,2,2,2,2,3,0,1
3,2,2,44,1,,2,2,4,3,4,-2,1
3,2,2,36,2,1,2,2,6,2,5,-4,1
3,2,2,55,1,1,2,2,5,2,4,-3,1
3,2,1,28,1,1,2,2,6,4,5,-4,1
3,2,2,26,2,1,10,2,3,10,11,7,1
3,2,1,64,1,1,2,2,6,4,5,-4,1
3,2,1,38,1,1,2,2,3,2,3,-1,1
3,2,1,36,1,1,2,2,5,2,4,-3,1
4,2,2,43,3,,0,2,6,4,3,-6,1
4,2,1,50,3,,2,2,2,2,3,0,1
4,2,2,48,2,,2,2,4,2,4,-2,1
4,2,2,28,2,1,2,2,6,4,5,-4,1
4,2,1,37,1,1,2,2,6,2,5,-4,1
4,2,1,55,1,1,6,2,6,10,9,0,1
4,2,1,63,1,1,2,2,4,3,4,-2,1
4,2,2,45,2,,2,2,5,10,4,-3,1
4,2,2,52,2,,2,2,6,2,5,-4,1
4,2,1,44,1,,2,2,2,2,3,0,1
4,2,1,58,1,1,2,2,3,5,3,-1,1
4,2,1,37,1,1,2,2,6,4,5,-4,1
4,2,1,29,1,,10,2,3,10,11,7,1
4,1,1,31,1,1,99,2,5,2,,94,1
4,1,2,38,1,1,2,2,3,3,3,-1,1
4,1,1,26,1,1,2,2,6,3,5,-4,1
4,1,1,32,1,1,2,2,2,10,3,0,1
4,1,2,44,2,1,2,2,3,3,3,-1,1
4,1,1,33,1,1,2,2,4,3,4,-2,1
4,1,1,36,1,,10,2,3,10,11,7,1
4,1,2,29,2,1,2,2,3,3,3,-1,1
4,1,1,25,1,1,2,2,6,3,5,-4,1
4,1,2,38,2,1,2,2,5,3,4,-3,1
4,2,1,59,1,1,2,2,5,2,4,-3,1
4,2,1,57,2,1,2,2,2,2,3,0,1
4,2,2,31,1,1,2,2,6,3,5,-4,1
4,2,1,27,1,1,2,2,5,7,4,-3,1
4,2,1,42,1,1,2,2,4,3,4,-2,1
4,2,1,49,1,1,2,2,3,2,3,-1,1
4,1,1,28,1,1,2,2,3,2,3,-1,1
4,1,1,38,1,1,2,2,2,2,3,0,1
4,1,2,26,2,1,4,2,3,4,5,1,1
4,1,2,49,1,1,2,2,3,3,3,-1,1
4,1,2,40,2,1,2,2,3,2,3,-1,1
4,1,1,42,1,1,2,2,1,3,2,1,1
4,2,1,43,1,1,99,2,6,7,,93,1
4,2,1,53,1,1,2,2,3,2,3,-1,1
4,2,1,42,3,1,2,2,6,3,5,-4,1
4,2,1,27,1,1,2,2,6,3,5,-4,1
4,2,2,51,2,1,2,2,3,5,3,-1,1
4,2,2,41,2,1,2,2,3,3,3,-1,1
4,2,2,36,2,1,10,2,5,3,12,5,1
4,2,2,47,3,1,2,2,3,3,3,-1,1
4,2,1,53,1,,10,2,3,3,11,7,1
4,2,1,27,1,1,3,2,3,4,4,0,1
4,2,2,38,1,1,2,2,3,7,3,-1,1
4,1,2,30,3,1,2,2,3,2,3,-1,1
4,1,1,60,1,1,99,2,2,2,100,97,1
4,1,2,50,2,1,99,2,3,2,100,96,1
4,1,2,37,3,1,2,2,3,3,3,-1,1
4,1,2,47,2,1,2,2,2,3,3,0,1
4,1,2,47,2,1,99,2,6,3,,93,1
4,1,2,28,2,1,2,2,3,3,3,-1,1
4,2,2,28,3,1,2,2,3,4,3,-1,1
4,2,1,40,1,1,2,2,6,3,5,-4,1
4,2,1,38,5,,2,2,3,3,3,-1,1
4,2,1,50,1,1,2,2,3,2,3,-1,1
4,2,2,64,3,1,2,2,1,2,2,1,1
4,2,1,48,1,1,2,2,3,3,3,-1,1
4,2,2,63,2,1,2,2,2,3,3,0,1
4,2,2,36,3,1,2,2,3,2,3,-1,1
4,2,2,41,5,1,2,2,2,3,3,0,1
4,2,2,30,2,1,99,2,3,3,100,96,1
4,2,1,36,1,1,2,2,6,3,5,-4,1
4,2,2,34,2,1,2,2,6,3,5,-4,1
4,2,2,41,3,1,2,2,3,2,3,-1,1
4,2,1,31,1,1,99,2,6,2,,93,1
4,2,1,25,1,1,2,2,6,2,5,-4,1
4,2,1,25,1,1,2,2,6,2,5,-4,1
4,2,1,56,1,,2,2,1,2,2,1,1
4,2,1,49,3,1,2,2,3,2,3,-1,1
4,2,1,51,1,1,2,2,1,2,2,1,1
4,2,1,52,3,,2,2,6,10,5,-4,1
4,2,2,33,3,1,2,2,6,3,5,-4,1
4,2,2,37,3,1,2,2,6,4,5,-4,1
4,2,2,63,2,1,2,2,3,2,3,-1,1
4,2,2,31,3,1,2,2,2,3,3,0,1
4,2,2,25,4,1,2,2,3,3,3,-1,1
4,2,1,33,1,1,2,2,6,3,5,-4,1
4,2,2,62,2,1,2,2,3,2,3,-1,1
4,2,2,60,1,1,2,2,3,2,3,-1,1
4,2,2,48,3,1,2,2,3,2,3,-1,1
4,2,2,62,8,1,99,2,3,2,100,96,1
4,2,1,50,1,1,99,2,3,2,100,96,1
4,1,2,35,2,,2,2,1,4,2,1,1
4,1,2,59,1,1,2,2,1,2,2,1,1
4,1,2,30,2,1,2,2,6,2,5,-4,1
4,1,2,30,3,1,2,2,3,2,3,-1,1
4,1,2,38,2,1,99,2,2,2,100,97,1
4,1,2,41,2,,2,2,3,2,3,-1,1
4,1,1,58,1,1,2,2,3,2,3,-1,1
4,2,2,59,1,1,2,2,6,2,5,-4,1
4,2,2,31,2,1,2,2,3,3,3,-1,1
4,2,1,43,1,1,2,2,6,2,5,-4,1
4,2,2,31,2,1,2,2,2,10,3,0,1
4,2,1,28,1,1,11,2,3,3,12,8,1
4,2,1,26,1,1,2,2,4,7,4,-2,1
4,2,2,49,2,1,2,2,3,2,3,-1,1
4,2,1,27,1,1,3,2,3,4,4,0,1
4,2,1,31,1,,2,2,6,4,5,-4,1
4,2,1,29,1,1,4,2,3,3,5,1,1
4,2,2,28,3,1,99,2,3,10,100,96,1
4,2,1,44,1,1,2,2,2,2,3,0,1
4,2,2,26,1,1,4,2,6,4,7,-2,1
1,3,2,44,1,1,2,2,2,7,3,0,1
1,3,2,25,3,1,4,2,3,10,5,1,1
1,3,2,58,1,1,3,2,6,3,6,-3,1
1,2,2,37,3,1,2,2,2,7,3,0,1
1,2,2,49,3,1,2,2,6,10,5,-4,1
1,2,1,36,1,1,4,2,3,4,5,1,1
1,2,2,36,3,1,2,2,2,3,3,0,1
1,2,2,33,5,,2,2,6,4,5,-4,1
1,4,2,43,3,1,3,2,3,11,4,0,1
1,4,1,40,1,1,4,2,3,4,5,1,1
1,4,2,45,1,1,2,2,3,2,3,-1,1
1,4,2,32,2,1,3,2,6,4,6,-3,1
1,2,2,41,1,1,2,2,6,3,5,-4,1
1,2,1,37,1,1,10,2,6,10,13,4,1
1,2,1,38,1,1,2,2,3,10,3,-1,1
1,2,2,30,2,1,2,2,6,4,5,-4,1
1,3,2,35,2,1,2,2,5,3,4,-3,1
1,3,1,64,1,1,8,2,4,3,10,4,1
1,3,1,60,1,1,2,2,4,4,4,-2,1
1,3,2,29,3,1,2,2,6,10,5,-4,1
1,4,2,40,2,1,3,2,6,3,6,-3,1
1,4,1,58,1,,3,2,3,4,4,0,1
1,3,1,29,3,1,10,2,3,10,11,7,1
1,3,2,25,2,1,2,2,3,4,3,-1,1
1,3,2,55,1,,2,2,3,10,3,-1,1
1,3,1,36,1,1,11,2,6,11,14,5,1
1,3,2,45,2,1,3,2,3,10,4,0,1
1,3,2,56,2,1,2,2,1,6,2,1,1
1,3,2,53,2,1,2,2,6,7,5,-4,1
1,2,1,30,1,1,2,2,3,3,3,-1,1
1,2,2,30,2,1,2,2,6,10,5,-4,1
1,3,2,34,2,1,2,2,6,4,5,-4,1
1,3,2,35,2,1,2,2,4,4,4,-2,1
1,2,2,38,2,1,2,2,6,10,5,-4,1
1,2,2,31,3,1,2,2,6,4,5,-4,1
1,2,2,62,2,1,2,2,6,4,5,-4,1
1,2,2,60,2,1,2,1,3,5,3,-1,1
1,2,2,55,1,1,2,2,6,2,5,-4,1
1,2,2,37,2,1,2,2,6,2,5,-4,1
1,3,1,40,1,1,3,2,2,10,4,1,1
1,3,2,39,2,,10,2,3,10,11,7,1
1,3,2,32,2,,2,2,6,10,5,-4,1
1,3,2,56,1,,2,2,6,4,5,-4,1
1,3,2,43,1,1,3,2,2,10,4,1,1
1,4,2,63,2,,99,2,3,4,100,96,1
1,4,2,36,2,,10,2,3,4,11,7,1
1,4,2,44,2,1,2,2,6,10,5,-4,1
1,2,2,28,2,1,3,2,6,4,6,-3,1
1,3,2,47,2,1,2,2,6,3,5,-4,1
1,3,1,45,3,1,3,2,2,3,4,1,1
1,3,2,29,2,,10,2,3,10,11,7,1
1,3,1,40,1,1,2,2,2,4,3,0,1
1,3,2,44,1,1,2,2,3,3,3,-1,1
1,2,1,28,3,1,2,2,6,2,5,-4,1
1,2,2,28,3,1,2,2,3,4,3,-1,1
1,2,2,40,2,1,2,2,3,2,3,-1,1
1,2,2,56,1,1,2,2,2,3,3,0,1
1,2,1,28,4,1,4,2,3,4,5,1,1
1,2,2,39,1,,2,2,6,4,5,-4,1
1,3,1,28,5,1,3,2,6,3,6,-3,1
1,3,1,53,1,1,2,2,3,3,3,-1,1
1,3,1,31,1,1,4,2,3,10,5,1,1
1,3,2,28,3,1,0,2,6,2,3,-6,1
1,3,2,25,3,1,3,2,3,10,4,0,1
1,2,1,46,1,1,3,2,3,3,4,0,1
1,2,1,33,2,1,9,2,6,11,12,3,1
1,2,1,37,1,1,3,2,6,4,6,-3,1
1,2,2,54,2,1,2,2,1,2,2,1,1
1,2,2,63,2,1,2,2,3,3,3,-1,1
1,3,2,33,2,1,2,2,4,10,4,-2,1
1,3,1,54,1,1,2,2,3,2,3,-1,1
1,3,1,50,1,1,2,2,6,4,5,-4,1
1,4,1,50,1,,2,2,6,7,5,-4,1
1,4,2,28,2,1,4,2,5,10,6,-1,1
1,4,2,44,2,1,2,2,6,10,5,-4,1
1,4,2,39,3,1,10,2,2,10,11,8,1
1,4,1,41,1,1,2,2,3,3,3,-1,1
1,2,2,59,1,1,2,2,3,2,3,-1,1
1,3,2,45,3,1,99,2,5,3,,94,1
1,2,1,57,1,1,2,2,6,3,5,-4,1
1,2,2,57,2,,2,2,6,2,5,-4,1
1,2,2,39,2,1,2,2,6,3,5,-4,1
1,2,1,50,1,1,2,2,3,3,3,-1,1
1,3,2,32,1,1,2,2,3,11,3,-1,1
1,3,1,40,2,,4,2,6,3,7,-2,1
1,3,1,63,1,1,2,2,6,3,5,-4,1
1,4,1,61,1,,3,2,3,4,4,0,1
1,4,2,46,1,,10,2,3,4,11,7,1
1,4,1,29,3,1,4,2,3,4,5,1,1
1,4,1,25,3,1,10,2,3,4,11,7,1
1,4,2,55,2,1,2,2,6,4,5,-4,1
1,2,2,49,2,1,2,2,4,10,4,-2,1
1,2,1,29,3,1,3,2,3,7,4,0,1
1,3,1,47,3,1,3,2,3,4,4,0,1
1,3,2,43,2,1,2,2,3,3,3,-1,1
1,3,1,39,1,1,2,2,6,4,5,-4,1
1,3,2,43,1,1,2,2,5,3,4,-3,1
1,3,1,52,1,1,2,2,3,3,3,-1,1
1,3,1,40,1,1,7,2,3,10,8,4,1
1,3,2,51,2,,3,2,6,4,6,-3,1
1,3,1,42,1,,10,2,3,11,11,7,1
1,3,1,54,1,1,2,2,6,4,5,-4,1
1,3,2,43,3,1,2,2,4,4,4,-2,1
1,3,1,25,3,1,9,2,3,10,10,6,1
1,3,1,57,1,1,3,2,2,12,4,1,1
1,3,2,28,3,1,3,2,6,4,6,-3,1
1,3,2,55,2,1,2,2,6,6,5,-4,1
1,3,2,26,3,1,2,2,6,10,5,-4,1
1,2,2,46,1,1,2,2,6,3,5,-4,1
1,2,2,38,2,1,2,2,6,3,5,-4,1
1,2,1,35,3,1,2,2,3,2,3,-1,1
1,2,1,36,1,1,4,1,3,4,5,1,1
1,2,1,26,1,1,4,2,3,3,5,1,1
1,2,1,50,1,1,3,2,3,4,4,0,1
1,4,2,56,1,,2,2,5,9,4,-3,1
1,4,2,55,2,1,3,2,3,10,4,0,1
1,4,2,57,2,1,10,2,6,10,13,4,1
1,2,2,31,1,1,4,2,2,10,5,2,1
1,2,1,31,1,1,4,2,3,10,5,1,1
1,2,2,32,2,1,10,2,2,4,11,8,1
1,2,2,26,3,1,2,2,4,10,4,-2,1
1,2,1,29,3,1,2,2,5,10,4,-3,1
1,2,1,40,3,1,2,2,3,3,3,-1,1
1,2,1,32,5,1,2,2,6,2,5,-4,1
1,2,1,48,1,1,2,2,4,3,4,-2,1
1,2,1,44,6,1,2,2,4,3,4,-2,1
1,2,2,52,2,1,2,2,4,3,4,-2,1
1,2,1,34,3,1,2,2,1,2,2,1,1
1,2,1,32,1,1,2,2,6,4,5,-4,1
1,2,1,54,1,,2,2,6,10,5,-4,1
1,3,2,32,3,1,2,2,3,10,3,-1,1
1,3,2,45,1,1,3,2,6,4,6,-3,1
1,3,1,51,1,1,2,2,2,10,3,0,1
1,3,2,31,1,1,4,2,3,4,5,1,1
1,2,2,26,9,1,2,2,3,4,3,-1,1
1,2,2,39,1,1,2,2,2,4,3,0,1
1,2,1,27,1,1,3,2,3,2,4,0,1
1,2,2,47,2,1,2,2,1,2,2,1,1
1,2,1,31,1,1,3,2,3,3,4,0,1
1,2,2,32,2,1,2,2,6,2,5,-4,1
1,3,1,29,1,1,4,2,3,10,5,1,1
1,3,1,41,3,1,99,2,2,2,100,97,1
1,2,2,31,2,1,2,2,1,3,2,1,1
1,3,1,49,1,1,2,2,6,3,5,-4,1
1,3,1,38,1,1,4,1,6,10,7,-2,1
1,3,2,33,2,1,3,2,6,3,6,-3,1
1,2,2,44,2,1,2,2,3,2,3,-1,1
1,2,2,43,2,,2,2,3,7,3,-1,1
1,4,1,33,1,,3,2,3,10,4,0,1
1,4,1,36,1,1,7,2,3,11,8,4,1
1,4,1,34,1,,5,2,3,10,6,2,1
1,4,1,61,1,1,2,2,2,2,3,0,1
1,4,1,53,1,,9,2,2,11,10,7,1
1,3,2,39,2,1,2,2,6,3,5,-4,1
1,3,2,30,2,1,2,2,2,3,3,0,1
1,3,1,59,1,1,2,2,3,2,3,-1,1
1,2,1,34,1,1,2,2,6,4,5,-4,1
1,2,1,48,1,1,2,2,4,10,4,-2,1
1,2,1,56,1,1,2,2,3,4,3,-1,1
1,3,2,38,2,1,2,2,6,3,5,-4,1
1,3,2,42,2,1,2,2,3,3,3,-1,1
1,3,1,44,1,1,5,2,4,10,7,1,1
1,3,2,34,2,1,3,2,3,11,4,0,1
1,3,1,45,1,1,2,2,5,4,4,-3,1
1,1,1,38,1,1,2,2,3,3,3,-1,1
1,1,2,42,1,1,3,2,6,3,6,-3,1
1,1,1,42,1,1,3,2,5,3,5,-2,1
1,3,2,45,1,1,2,2,3,10,3,-1,1
1,3,2,27,5,1,3,2,3,3,4,0,1
1,4,2,25,2,1,2,2,3,10,3,-1,1
1,4,2,38,2,,10,2,3,10,11,7,1
1,4,2,44,1,1,10,2,6,10,13,4,1
1,4,2,52,2,,10,2,3,7,11,7,1
1,4,1,32,1,1,4,2,6,10,7,-2,1
1,4,1,54,1,,2,2,3,10,3,-1,1
1,4,2,46,2,1,2,2,6,11,5,-4,1
1,2,2,33,2,1,4,2,6,3,7,-2,1
1,2,2,49,2,1,2,2,6,3,5,-4,1
1,2,1,34,1,1,3,2,3,3,4,0,1
1,2,2,42,1,1,2,2,4,10,4,-2,1
1,2,2,34,2,1,3,2,4,8,5,-1,1
1,2,1,33,1,1,2,2,3,4,3,-1,1
1,3,1,28,8,1,2,2,3,4,3,-1,1
1,3,1,40,1,1,2,2,6,3,5,-4,1
1,4,1,46,1,,10,2,2,10,11,8,1
